ax,ay,az,gx,gy,gz
8872,-12240,-9580,1809,-15292,-3196.0
9752,-12352,-3812,-4289,9264,1115.0
10528,-13904,3340,3321,-9733,-3951.0
9540,-13192,-8552,-4245,6717,94.0
10276,-13424,3708,831,-16154,-1765.0
9244,-12800,-10052,-5043,18114,-2990.0
10040,-11216,-6260,-2093,-26089,2068.0
8840,-12604,-15848,-4249,2082,-343.0
10012,-11884,-3992,52,-19245,2062.0
11580,-11280,2612,1123,8057,-5504.0
9736,-12792,-5748,-2374,13756,-1177.0
10312,-12796,-7248,-1786,-8012,1045.0
11544,-10148,-1900,197,-7868,1295.0
10464,-12180,-2868,1494,11654,-3948.0
9620,-11652,-14180,-2796,-1418,239.0
11344,-11960,-2640,-309,-16558,3508.0
10476,-13056,584,1670,12909,-2750.0
9692,-12140,-14844,-3150,1964,-1377.0
11040,-11244,-560,-1536,-20251,3186.0
11380,-12772,-240,-175,20586,442.0
9388,-12172,-13540,-756,-2210,-722.0
11484,-11512,-2572,-711,-16764,2153.0
11172,-11384,-1504,1643,14004,-2195.0
9612,-12072,-13168,-2584,598,-1434.0
10380,-11068,-3164,-103,-14371,2420.0
10872,-11728,-3704,1976,268,-29.0
17080,-8900,6716,7748,12418,8723.0
8476,-15256,-9140,655,-5382,3243.0
10128,-12028,-1796,-4255,11317,-6113.0
9616,-11660,2112,1015,-32768,2070.0
10336,-15328,-5464,-6066,12085,-800.0
12408,-8756,4480,6156,19177,4836.0
9236,-13096,-1340,-4915,9693,-687.0
6736,-19956,16596,12199,-2585,7182.0
8776,-12308,-2332,-4764,4787,-1097.0
8200,-18260,11848,1828,-22935,-1143.0
8292,-13604,2820,-115,-31579,-1390.0
6336,-10380,-288,-1711,14975,-549.0
9860,-13036,-7808,3450,-22634,361.0
9740,-13868,-1804,-6896,9245,-906.0
9272,-8976,1860,2740,17506,1880.0
9124,-14112,-6140,2734,-15018,204.0
14104,-13920,7948,11530,5501,9009.0
9972,-12068,-1968,-5452,5815,-24.0
11120,-18124,13012,13440,555,8231.0
9196,-13932,-6120,-7719,-2807,-678.0
8356,-20788,13324,12746,-5586,7417.0
9344,-12876,-8036,-6991,3012,-1205.0
9444,-12876,-1924,-3781,1965,204.0
5336,-19632,13312,9639,-8007,142.0
9272,-13348,-8056,-4933,4546,-968.0
9056,-13448,-1824,-5854,3211,526.0
6584,-18296,12960,5417,-18711,-3864.0
8640,-15724,-5736,-7558,12232,427.0
11852,-9340,5340,3495,15013,5113.0
7004,-16096,-8772,-2508,-3830,1707.0
9432,-11820,-3336,-6348,-377,-3134.0
10100,-12608,-4152,-821,-10174,728.0
8632,-14564,1568,6181,-3147,-2171.0
8924,-13888,-8124,-3963,1551,-1497.0
9956,-13504,3680,5659,-1117,1353.0
8484,-14072,-9508,-2369,4974,-53.0
10620,-13904,4272,4267,-1148,2839.0
8636,-14328,-6112,-3314,1986,1479.0
10320,-13584,608,1940,6466,2086.0
8740,-13800,-6556,-2674,-6460,-148.0
9588,-11112,1748,-1754,16888,2079.0
8652,-13520,-10584,2068,-9647,333.0
9988,-10164,1936,-2673,20358,111.0
8908,-12880,-9100,-318,-11012,-1066.0
8980,-13156,-4140,-2603,5008,204.0
9336,-14068,-576,-1352,-16623,-741.0
9860,-12984,-3580,-3141,7310,-360.0
9040,-16920,5884,2782,-11242,-19.0
7216,-13048,-7856,-3018,16393,-3249.0
8012,-14204,-3636,-2039,-28477,600.0
9524,-13224,5312,4295,13283,-1924.0
8684,-13300,-9848,-734,6545,-577.0
7732,-11484,-11012,-4594,-1679,-1484.0
7772,-16364,-5872,868,-14524,1652.0
12416,-10820,5892,-656,-11526,3351.0
7084,-15232,-14240,-2666,5753,-6647.0
10336,-11452,-3700,-1731,-27080,4906.0
4704,-14800,11320,6186,8630,-5011.0
7748,-15824,-6228,327,-25285,2522.0
13320,-11488,14756,2691,-11825,-2226.0
7988,-13260,-12764,-1092,-11914,2186.0
12256,-13344,1848,-1036,32417,782.0
8652,-14260,-6564,-1439,-8924,2412.0
10336,-11848,-156,-1533,-7626,-299.0
9828,-12432,-6868,-1644,1780,-1139.0
10604,-12780,580,6031,-346,848.0
8580,-14220,-5908,-3179,1142,-668.0
9192,-12108,-4660,-1896,6046,1636.0
9608,-13616,-1732,-874,-15905,802.0
9916,-14036,-2044,-3362,2484,-643.0
9488,-11672,-616,-3110,19933,270.0
9712,-12024,-5120,2574,-11673,947.0
9688,-12984,-4232,-3699,1325,385.0
9056,-13236,-5340,238,-8501,-172.0
9576,-12108,-3672,-3862,5230,135.0
11176,-14892,4828,9480,-2485,555.0
8944,-12960,-6128,-4171,2716,-19.0
8508,-13608,-4244,7,-23551,-989.0
10124,-12940,-1960,-4142,7480,1362.0
9844,-14320,2428,9038,10637,
7780,-16796,-3972,118,1165,1107.0
7800,-13968,-4272,-6634,666,-1363.0
10188,-13176,6552,5206,9446,7101.0
7676,-15152,-6788,-2142,-258,1059.0
7220,-13436,-3216,-3367,8015,-31.0
7760,-18264,5428,5508,-20719,-400.0
7260,-13700,-3404,-930,5014,-1875.0
8028,-15164,-28,2254,-23840,-77.0
8388,-14356,-2320,-8272,11466,-699.0
6868,-9824,392,1233,18127,4030.0
6488,-15532,-8580,3537,-10837,116.0
8388,-14432,-1632,1774,-115,4.0
8700,-13680,4640,6208,17408,7469.0
7220,-16916,-2700,5787,-9868,-1204.0
8200,-14356,-1096,-10401,-1726,-3292.0
7688,-15512,6248,13089,-2606,8519.0
6936,-16076,-6460,-5302,1712,-2220.0
8172,-13124,-3148,-6774,1371,584.0
10328,-15776,5480,9099,8711,8680.0
7688,-15528,-5216,-1594,-7690,-1990.0
8544,-13112,-2252,-9749,3091,-129.0
7916,-10740,1088,4309,13490,6199.0
6340,-16576,-6956,4580,-8744,-2552.0
8504,-13644,-2256,-10221,2129,-102.0
6444,-11016,656,3296,9754,4480.0
6664,-18548,-8784,8963,-17057,-4245.0
8628,-13352,-132,-11475,2205,-7114.0
8968,-11772,-3156,-3970,5077,4999.0
7128,-17676,3092,9250,-4363,-135.0
7528,-14416,-4444,-5644,3487,-2191.0
7708,-12932,-3340,-597,3853,5061.0
6716,-22148,4488,8551,-9190,8380.0
6760,-12776,-3632,-4521,6060,2305.0
6364,-14964,-4236,-7102,6660,-4425.0
9504,-20084,8156,8690,-5235,11144.0
5408,-16344,-2216,-8402,6685,-7296.0
6936,-12912,-4048,-6248,3221,-1426.0
11052,-15852,5868,6511,2279,8076.0
7772,-12700,-2080,-2480,-1136,3638.0
9356,-19272,6564,9865,-679,7493.0
9132,-17424,4040,7873,-4969,2599.0
7200,-14292,-5320,-6111,7000,-2057.0
6800,-11992,-4804,1696,8814,882.0
8140,-14712,-8280,5096,-16502,-3719.0
8800,-13768,-1660,-7309,2135,-342.0
7796,-12196,-3104,393,9766,2414.0
8400,-13564,-364,-6540,8457,-1951.0
7556,-13464,-4048,185,5698,1161.0
7972,-17472,1280,2851,-22288,-2277.0
8572,-14092,-744,-6868,5130,-3455.0
7964,-13724,-4172,-2326,4663,1803.0
7548,-18304,7396,8829,-5040,2779.0
8024,-12876,-3224,-1863,5577,2837.0
7808,-17736,3280,2479,-24092,-842.0
8252,-14460,-1756,-8238,9404,-2896.0
7856,-13048,-4968,-1552,5646,2620.0
7444,-19300,7464,7373,-18725,1091.0
8408,-14716,-1688,-7958,11324,-1934.0
7784,-11704,2128,-2048,19169,2041.0
7032,-14684,-13024,-170,-3934,-630.0
8452,-15340,11420,683,-16265,-342.0
8108,-13688,-756,-3114,31923,2905.0
7468,-16284,-3964,-381,-14687,29.0
7476,-13520,-524,-362,11255,-2670.0
9740,-14044,-5808,-2008,8654,-1012.0
6512,-15592,-4372,72,-13722,2924.0
10400,-12644,3716,448,-7436,2405.0
6028,-17456,-3948,-589,-14893,560.0
6880,-14928,732,3073,-569,-419.0
8680,-13104,-6276,-8618,8369,
7068,-19076,13972,9797,-14039,1827.0
7140,-14984,-4740,-7999,13419,-589.0
6456,-14068,-1300,1514,4945,1855.0
6584,-16532,-488,3550,-20274,-1037.0
7484,-13696,-3260,-4941,9110,4431.0
5648,-16244,-332,-5849,4343,-396.0
3648,-19580,7248,10726,-14023,-1312.0
6016,-16264,-1948,-7458,2613,-4008.0
6656,-14028,-6020,-4370,10244,-65.0
2652,-21152,10356,10190,-23856,649.0
6024,-14328,-4632,-1427,5131,-94.0
7580,-16908,1712,8084,-27894,-2241.0
7328,-15608,-216,-8980,4722,-3090.0
14332,-17896,11160,13057,3887,11092.0
6288,-15496,-4896,-4413,-4037,2.0
7944,-13632,-476,-7719,1177,689.0
5620,-11624,296,4611,19808,3921.0
6988,-16416,-2520,7281,-13994,-1680.0
7664,-16160,-1044,-9386,4157,76.0
5528,-10200,2772,1871,28942,3886.0
7244,-16480,-3608,7522,-13809,-516.0
7484,-15108,144,-8967,1407,-1404.0
7156,-13544,-1308,-1232,12338,2329.0
7752,-14864,-80,-7870,3990,-2676.0
7032,-14052,-3324,-7348,10005,-791.0
6772,-16164,-556,2232,-24576,-3854.0
8976,-13472,-2176,-7357,4676,-2587.0
8272,-12856,-2996,-4286,12089,1638.0
6928,-14488,-6536,6589,-20918,-49.0
8492,-14956,-200,-8643,7253,-1078.0
7004,-12020,1968,-2240,19520,937.0
8256,-15996,-608,10943,-11696,2572.0
7736,-14096,392,-7515,2265,-1111.0
7532,-14800,-3236,-5781,4728,1473.0
7644,-14816,-2676,8054,-13235,-927.0
8800,-14364,-900,-7722,-1946,-585.0
8324,-13808,-2280,-6945,9692,-639.0
8504,-17528,8216,8786,-16462,2011.0
7672,-15300,-2620,-6370,8705,-355.0
7500,-13444,-3124,-7760,2128,2369.0
10744,-15140,3740,11581,-1868,4844.0
9116,-13292,-3652,-10971,3112,475.0
12580,-10488,8228,5316,12928,3244.0
8028,-15000,-7828,448,-13969,-2657.0
9520,-11976,-164,-10217,7058,1117.0
10076,-14096,3216,7423,8660,5363.0
9292,-14752,-4448,1547,-10607,-3482.0
8512,-12660,-2320,-9320,6815,-1303.0
10060,-12340,6792,11129,11430,11614.0
7476,-17680,-5620,3488,-22677,-5090.0
5752,-14188,-2884,9397,-17332,-551.0
9096,-16624,3760,-6785,13629,-20777.0
6368,-13268,-728,3282,-10297,3907.0
-336,-18632,-5072,1202,-1895,-1957.0
6292,-12384,-1836,11679,-10285,12288.0
2064,-16736,-6800,-6555,5830,-12463.0
8532,-11120,-884,2848,-4754,7952.0
6252,-16472,-11952,-14620,22193,-15988.0
9252,-6744,2776,480,5349,2698.0
5624,-15984,-1876,11154,-13632,8960.0
8016,-15804,-848,-8849,11295,-10716.0
5192,-15016,-540,6350,-14659,2756.0
-2352,-20176,-11688,-4836,16675,-1853.0
10364,-9128,956,2861,-3533,7373.0
2900,-15604,-8280,-5814,-14964,-12201.0
8232,-7796,2552,-4732,9005,-10482.0
8736,-15156,-1560,20771,-10359,22377.0
-368,-18756,-9904,-9296,8724,5052.0
9184,-11968,1016,3718,-603,1437.0
1976,-14836,-9724,2590,-14779,5576.0
11148,-10948,408,-4630,4509,653.0
4296,-12904,-1632,6848,-9251,5498.0
12080,-11892,-4600,-9526,16175,-9824.0
9332,-13420,-300,8935,-12304,9961.0
392,-18872,-9076,-4091,13683,-4012.0
11124,-11316,2200,-4799,2002,-4845.0
4752,-9716,-10332,4743,-22025,1073.0
10772,-7028,5328,3045,16495,700.0
5188,-22428,768,5558,-23595,3831.0
5256,-13368,2248,-4171,29453,-9950.0
8304,-19288,2804,14410,-20533,13888.0
120,-18676,-4316,-696,26900,-10268.0
11200,-15172,3732,13724,-19601,13166.0
1048,-17288,-13036,-8680,17104,998.0
13528,-7824,5232,12715,-16280,13889.0
384,-22704,-15956,-13177,1049,4680.0
13428,-3912,2312,-1136,-2704,2412.0
2660,-14668,-6124,-3707,-12870,35.0
9964,-12540,5196,-9519,13807,-16306.0
4160,-16612,244,5002,-12250,4049.0
2964,-16352,1268,4,13195,-16264.0
7516,-12996,1272,5693,-11700,7643.0
2504,-20516,-12048,-6735,3348,9421.0
10796,-12060,-768,-10103,6702,-2214.0
7008,-12688,-1024,13108,-12906,11688.0
9012,-15608,248,-4665,7598,-11948.0
8364,-12904,-412,4598,-8527,5938.0
-2168,-21148,-6236,499,17775,-9741.0
9244,-8428,3544,7296,-6594,4872.0
2964,-22536,-9516,-1969,-12070,9789.0
13572,-6076,2452,-4512,2272,372.0
-2028,-20768,-4128,2456,-13989,6101.0
12288,-12004,4680,-11366,10133,-9923.0
6500,-19500,-11840,-6805,-4386,127.0
9516,-7920,3952,1971,135,1504.0
2912,-12524,-408,6280,-16216,887.0
12336,-12808,3788,-8549,13511,-13519.0
6260,-14496,1508,5408,-10963,6311.0
-1244,-21400,-5724,2350,17199,-10333.0
8472,-10972,2180,3712,-9865,11232.0
-2892,-23160,-10040,-8733,21610,-1847.0
7332,-7996,5676,-899,3636,2453.0
3992,-18436,4744,13347,-20916,2273.0
344,-18192,1032,-3887,21856,-21627.0
8512,-12008,1304,3499,-11154,8835.0
808,-21964,-9992,-5767,6040,11142.0
10024,-8148,2784,1242,236,4774.0
5576,-15460,-1776,5765,-13109,4617.0
16452,-11380,2164,-10789,25437,-16866.0
9620,-8604,3048,10955,-18026,12096.0
-2380,-24256,-8852,-21837,18169,1444.0
11092,-8176,2772,4946,-7013,5642.0
4144,-17668,-7080,3111,-13038,6015.0
10336,-10900,6420,375,5010,-61.0
5344,-15824,1432,4686,-10427,676.0
4772,-16572,2036,-732,16479,-15441.0
7440,-15856,1408,5027,-13364,4787.0
92,-18928,-3720,3269,20956,-11485.0
9456,-12424,2992,7169,-14024,7076.0
3620,-21780,-11716,-7821,8087,10762.0
9536,-7360,7336,-1569,-2200,2579.0
1980,-17320,-4184,-1836,-15279,1199.0
1056,-13608,9788,-97,-480,489.0
1532,-15208,9208,3956,-5133,1254.0
-3892,-16132,13516,3324,32710,-4951.0
-932,15560,-2452,-6793,5782,-1192.0
1548,16228,3280,-4818,5232,-3225.0
-2664,16616,-10244,1709,-6650,610.0
-5172,15244,568,-3333,8298,-3081.0
-1672,16396,-1628,77,-22585,3997.0
-2536,10684,-7692,-1530,20997,-338.0
9480,21628,7248,-1706,-13940,1789.0
-5148,11684,-11420,-6007,19222,-3754.0
-960,17868,-3664,7188,15626,-3681.0
-11424,13596,-10128,-5133,-26031,7692.0
808,17620,-9708,3415,14226,-1788.0
-1892,13340,-3156,15045,-32768,5541.0
-2428,15308,-3464,-9413,18596,603.0
3352,18760,4036,1191,23189,-3787.0
-3044,18232,-8364,-5233,-28844,7457.0
-2620,11932,-9608,-4048,11290,-4050.0
-5832,19692,20700,-8653,26435,-2029.0
-1704,17940,-19188,-5713,-2326,-2106.0
876,15024,-8384,-99,2795,-1311.0
-776,17348,12676,-13560,16429,-6291.0
-1244,15192,-15332,-4102,8439,-1158.0
296,18176,-11308,-17,12065,-8034.0
3876,17268,-5900,-6988,-14316,3399.0
-1168,16640,-6912,2268,-1730,4595.0
-4652,14552,-9948,1270,12994,321.0
184,18424,-4396,10984,-32768,7200.0
1488,15264,4728,-1434,6044,-2869.0
-252,16908,-7456,1394,15867,1417.0
2644,16604,-3904,-2336,-21368,-780.0
-2720,11512,-6464,1903,4639,951.0
-3204,14216,-8800,2681,12690,-3143.0
-516,14208,-4540,13889,-32768,6259.0
-3296,12944,-1792,-4044,9476,-1986.0
988,14452,-4748,-3355,20734,-4951.0
-3188,20744,10088,22,-30692,1648.0
-1096,14940,1064,1752,-300,5345.0
-3104,15848,-3864,10729,9705,-8025.0
292,13712,-6500,11303,-32768,12671.0
-8188,9616,2512,-4703,-6657,7034.0
-5124,14564,1632,-7239,16262,276.0
-3612,15720,-15016,-3953,1309,-4103.0
-3960,24684,-2572,1279,2996,5894.0
-2684,13192,8696,487,-5709,-821.0
-1468,15564,-8496,-5318,22637,-4888.0
-1672,12596,-4296,-1503,9662,-2199.0
-584,17296,-2304,-2108,9171,-4260.0
-2680,17360,2668,-1039,15819,-2203.0
-2656,13160,1240,-1444,297,849.0
-880,16304,-1840,1322,1888,-1835.0
-2292,16156,-1796,-55,13334,-2070.0
-1912,16940,-4288,5927,4078,-2470.0
-384,15752,-4252,1702,-4635,2900.0
-2000,15256,-5548,-2378,-2319,1929.0
-1108,14624,-2056,481,2805,-432.0
-1816,14648,-3600,-190,2594,-31.0
-1900,14708,-5064,99,-132,679.0
-348,15748,-4552,-147,-1375,-316.0
-1280,15216,-5532,-35,-1656,1180.0
-1908,15148,-5192,-659,-582,-35.0
-1628,14784,-3876,-443,71,16.0
-544,15716,-5160,-338,1739,148.0
12256,-13344,1848,-1036,32417,782.0
8652,-14260,-6564,-1439,-8924,2412.0
10336,-11848,-156,-1533,-7626,-299.0
9828,-12432,-6868,-1644,1780,-1139.0
10604,-12780,580,6031,-346,848.0
8580,-14220,-5908,-3179,1142,-668.0
9192,-12108,-4660,-1896,6046,1636.0
9608,-13616,-1732,-874,-15905,802.0
9916,-14036,-2044,-3362,2484,-643.0
9488,-11672,-616,-3110,19933,270.0
9712,-12024,-5120,2574,-11673,947.0
9688,-12984,-4232,-3699,1325,385.0
9056,-13236,-5340,238,-8501,-172.0
9576,-12108,-3672,-3862,5230,135.0
11176,-14892,4828,9480,-2485,555.0
8944,-12960,-6128,-4171,2716,-19.0
8508,-13608,-4244,7,-23551,-989.0
10124,-12940,-1960,-4142,7480,1362.0
9844,-14320,2428,9038,10637,
7780,-16796,-3972,118,1165,1107.0
7800,-13968,-4272,-6634,666,-1363.0
10188,-13176,6552,5206,9446,7101.0
7676,-15152,-6788,-2142,-258,1059.0
7220,-13436,-3216,-3367,8015,-31.0
7760,-18264,5428,5508,-20719,-400.0
7260,-13700,-3404,-930,5014,-1875.0
8028,-15164,-28,2254,-23840,-77.0
8388,-14356,-2320,-8272,11466,-699.0
6868,-9824,392,1233,18127,4030.0
6488,-15532,-8580,3537,-10837,116.0
8388,-14432,-1632,1774,-115,4.0
8700,-13680,4640,6208,17408,7469.0
7220,-16916,-2700,5787,-9868,-1204.0
8200,-14356,-1096,-10401,-1726,-3292.0
7688,-15512,6248,13089,-2606,8519.0
6936,-16076,-6460,-5302,1712,-2220.0
8172,-13124,-3148,-6774,1371,584.0
10328,-15776,5480,9099,8711,8680.0
7688,-15528,-5216,-1594,-7690,-1990.0
8544,-13112,-2252,-9749,3091,-129.0
7916,-10740,1088,4309,13490,6199.0
6340,-16576,-6956,4580,-8744,-2552.0
8504,-13644,-2256,-10221,2129,-102.0
6444,-11016,656,3296,9754,4480.0
6664,-18548,-8784,8963,-17057,-4245.0
8628,-13352,-132,-11475,2205,-7114.0
8968,-11772,-3156,-3970,5077,4999.0
7128,-17676,3092,9250,-4363,-135.0
7528,-14416,-4444,-5644,3487,-2191.0
7708,-12932,-3340,-597,3853,5061.0
6716,-22148,4488,8551,-9190,8380.0
6760,-12776,-3632,-4521,6060,2305.0
6364,-14964,-4236,-7102,6660,-4425.0
9504,-20084,8156,8690,-5235,11144.0
5408,-16344,-2216,-8402,6685,-7296.0
